region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
92305,California,34.2303338,34.1201925,-116.7001465,-116.9888524,34.158917331531534,-116.93474701501498,1437.35,0,2.8528528528528527,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-116.934747015015 34.1589173315315)
92386,California,34.2486125,34.2359976,-116.8237454,-116.8315579,34.242018679251181,-116.82751282909508,1437.35,172,96.021840873634943,13.97238017871649,15,2111,263,175,414,14,2978,3.5,744.5,5203.04351196289,852055.09299926751,100656.56618041993,65009.474426269524,161470.64210815431,5336.5203857421875,1184394.8192260743,"[[0,124],[5,38],[10,8],[15,1],[20,1]]",322.90277132237327,0,POINT(-116.827512829095 34.2420186792512)
92391,California,34.246589,34.2319202,-117.2212891,-117.2465186,34.23968687610293,-117.23361433553914,1437.35,100,94.362745098039213,12.987012987012987,0,1850,724,238,2916,16,5728,4,1432,0,740434.72534790053,279624.5423339844,90332.465661621085,1123784.4676086425,6206.07744140625,2234176.2009521485,"[[0,56],[5,20],[10,11],[15,2],[20,2],[25,2],[35,1],[40,2],[95,1],[145,1],[195,1],[300,1]]",609.105743455837,0,POINT(-117.233614335539 34.2396868761029)
92321,California,34.2803399,34.2321225,-117.1377119,-117.2023965,34.252407420833329,-117.17321561021843,1437.35,399,89.335317460317455,22.154358689616881,53,5658,2541,2206,4139,18,14597,4.5,3649.25,19514.588452148437,2306457.4000610355,982870.37045288074,840972.66630859347,1622699.1574340824,7071.0804809570309,5772514.182708744,"[[0,220],[5,117],[10,31],[15,7],[20,4],[25,3],[30,4],[35,3],[45,4],[50,1],[60,1],[75,1],[105,1],[255,1],[510,1]]",1573.7664475029824,1,POINT(-117.173215610218 34.2524074208333)
92325,California,34.2664937,34.2272096,-117.2430622,-117.342378,34.242899257265684,-117.28297177122955,1437.35,746,71.642304385210664,17.906865098415746,234,10364,3750,4190,6394,18,24932,4.5,6233,74505.387738037112,4148314.5326843252,1424179.40927124,1590809.8799865721,2457652.1934692385,6891.9566772460939,9695461.4031494129,"[[0,397],[5,251],[10,40],[15,16],[20,17],[25,1],[30,4],[35,5],[40,1],[45,1],[50,1],[70,2],[85,1],[90,1],[100,1],[110,1],[115,2],[130,2],[230,1],[380,1]]",2643.2835617870687,0,POINT(-117.28297177123 34.2428992572657)
94516,California,37.8391584,37.8243099,-122.1571975,-122.1851202,37.831711601869152,-122.16550267009349,1232.5,37,76.6355140186916,45.1219512195122,31,380,120,207,122,18,860,4.5,215,9997.3503295898427,134181.88901367187,38882.164776611324,72474.470764160156,41912.14209594726,5972.56982421875,297448.01697998046,"[[0,21],[5,12],[10,3],[15,1]]",81.093557188928258,5,POINT(-122.165502670093 37.8317116018692)
86325,Arizona,34.803324,34.6764516,-111.8754198,-111.9740936,34.725359468836928,-111.92154542663518,1395.7,13,0.53270198283515835,72.222222222222229,67,178,89,103,11,19,448,4.75,112,24142.502685546871,78197.0409790039,33377.284521484376,42032.561633300778,4087.5441650390626,7589.9587890625,181836.933984375,"[[0,7],[5,3],[10,1],[15,1],[30,1]]",78.304979792675979,0,POINT(-111.921545426635 34.7253594688369)
90022,California,34.050783,34.0074872,-118.1267833,-118.1923331,34.0236896372671,-118.15510873647867,1405.05,10931,98.162395879697343,70.8058038606037,2465,103269,49725,51444,243487,20,450390,5,112597.5,866154.61824340839,42078024.250402808,18494343.363073725,18823352.502404787,92494374.293450877,7960.7837402343748,172756249.02757573,"[[0,5108],[5,4087],[10,916],[15,293],[20,155],[25,62],[30,40],[35,31],[40,26],[45,17],[50,23],[55,9],[60,12],[65,12],[70,12],[75,11],[80,11],[85,5],[90,7],[95,8],[100,2],[105,1],[110,5],[115,3],[125,6],[130,1],[135,1],[140,3],[145,1],[150,4],[155,1],[160,4],[165,2],[170,3],[175,4],[180,1],[185,1],[195,2],[200,1],[205,2],[210,2],[220,1],[235,1],[255,3],[260,1],[275,1],[285,1],[295,1],[300,1],[305,1],[390,2],[400,1],[415,1],[420,1],[445,1],[470,1],[475,1],[490,1],[515,1],[700,1],[785,1],[940,1],[950,1],[970,1],[1030,2],[1055,1],[1235,1],[1260,1],[1265,1],[1370,1],[2085,1],[2325,1],[2920,1]]",47098.712919660611,69,POINT(-118.155108736479 34.0236896372671)
90280,California,33.965617,33.9103142,-118.1569532,-118.2313271,33.945364598691434,-118.19932996775174,1405.05,15325,96.708658623136984,70.291716356297584,6832,173202,68977,81055,386137,20,716203,5,179050.75,2338409.4005981442,70138356.420837387,25230418.382086188,29786398.621972684,146699272.27067259,7826.0965087890627,274192855.09616667,"[[0,7366],[5,5296],[10,1225],[15,418],[20,228],[25,143],[30,97],[35,74],[40,42],[45,33],[50,30],[55,30],[60,21],[65,21],[70,15],[75,22],[80,13],[85,21],[90,16],[95,13],[100,13],[105,10],[110,11],[115,8],[120,5],[125,9],[130,4],[135,4],[140,4],[145,2],[150,8],[155,5],[160,6],[165,2],[170,1],[175,5],[180,2],[185,3],[190,2],[195,3],[200,1],[205,1],[210,1],[215,2],[220,5],[225,4],[230,1],[235,1],[240,1],[245,1],[250,5],[260,3],[265,2],[275,2],[280,1],[285,2],[290,2],[295,1],[305,3],[310,1],[315,3],[320,1],[325,1],[345,1],[350,2],[365,1],[370,2],[375,1],[385,2],[395,1],[435,1],[450,1],[460,1],[480,1],[485,1],[495,1],[500,1],[525,1],[540,2],[550,2],[565,1],[585,1],[605,1],[610,1],[650,1],[675,1],[685,1],[715,1],[730,1],[775,1],[825,1],[885,2],[910,1],[930,1],[935,1],[995,1],[1005,1],[1040,1],[1065,1],[1130,1],[1280,1],[1380,1],[1535,1],[2000,1],[2440,1],[2950,1]]",74753.4786121403,55,POINT(-118.199329967752 33.9453645986914)
94112,California,37.735586,37.7079414,-122.4192293,-122.467633,37.720106637553272,-122.44223351480179,1126.3018497204869,15015,99.278767347830836,82.63621353880022,17529,56325,31997,32339,290423,20,428613,5,107153.25,5168061.59874878,19564421.178442378,10140352.124798581,10193686.811145023,95808797.492602527,6720.0964721679684,140875319.20573738,"[[0,7075],[5,5964],[10,1383],[15,294],[20,87],[25,40],[30,25],[35,17],[40,8],[45,14],[50,12],[55,8],[60,10],[65,7],[70,5],[75,1],[80,3],[85,8],[90,5],[100,2],[110,5],[115,3],[120,2],[125,1],[135,3],[140,2],[150,3],[155,2],[160,1],[165,1],[170,1],[175,1],[180,1],[185,1],[205,1],[210,2],[220,1],[230,1],[245,1],[295,1],[300,1],[305,2],[310,1],[335,1],[340,1],[415,1],[455,1],[465,1],[665,1],[715,1],[745,1],[1045,1]]",38406.982404888156,102,POINT(-122.442233514802 37.7201066375533)
